,season,match_id,inning,batting_team,avgRuns
0,2008,60,1,Kolkata Knight Riders,138
1,2008,60,2,Royal Challengers Bangalore,133
2,2008,61,1,Chennai Super Kings,147
3,2008,61,2,Kings XI Punjab,156
4,2008,62,1,Rajasthan Royals,151
5,2008,62,2,Delhi Daredevils,142
6,2008,63,1,Mumbai Indians,135
7,2008,63,2,Royal Challengers Bangalore,133
8,2008,64,1,Deccan Chargers,151
9,2008,64,2,Kolkata Knight Riders,138
10,2008,65,1,Kings XI Punjab,156
11,2008,65,2,Rajasthan Royals,151
12,2008,66,1,Deccan Chargers,151
13,2008,66,2,Delhi Daredevils,142
14,2008,67,1,Chennai Super Kings,147
15,2008,67,2,Mumbai Indians,135
16,2008,68,1,Deccan Chargers,151
17,2008,68,2,Rajasthan Royals,151
18,2008,69,1,Kings XI Punjab,156
19,2008,69,2,Mumbai Indians,135
20,2008,70,1,Royal Challengers Bangalore,133
21,2008,70,2,Rajasthan Royals,151
22,2008,71,1,Kolkata Knight Riders,138
23,2008,71,2,Chennai Super Kings,147
24,2008,72,1,Mumbai Indians,135
25,2008,72,2,Deccan Chargers,151
26,2008,73,1,Delhi Daredevils,142
27,2008,73,2,Kings XI Punjab,156
28,2008,74,1,Chennai Super Kings,147
29,2008,74,2,Royal Challengers Bangalore,133
30,2008,75,1,Kolkata Knight Riders,138
31,2008,75,2,Mumbai Indians,135
32,2008,76,1,Delhi Daredevils,142
33,2008,76,2,Royal Challengers Bangalore,133
34,2008,77,1,Deccan Chargers,151
35,2008,77,2,Kings XI Punjab,156
36,2008,78,1,Rajasthan Royals,151
37,2008,78,2,Kolkata Knight Riders,138
38,2008,79,1,Chennai Super Kings,147
39,2008,79,2,Delhi Daredevils,142
40,2008,80,1,Deccan Chargers,151
41,2008,80,2,Royal Challengers Bangalore,133
42,2008,81,1,Kings XI Punjab,156
43,2008,81,2,Kolkata Knight Riders,138
44,2008,82,1,Mumbai Indians,135
45,2008,82,2,Delhi Daredevils,142
46,2008,83,1,Chennai Super Kings,147
47,2008,83,2,Rajasthan Royals,151
48,2008,84,1,Royal Challengers Bangalore,133
49,2008,84,2,Kings XI Punjab,156
50,2008,85,1,Chennai Super Kings,147
51,2008,85,2,Deccan Chargers,151
52,2008,86,1,Rajasthan Royals,151
53,2008,86,2,Mumbai Indians,135
54,2008,87,1,Delhi Daredevils,142
55,2008,87,2,Chennai Super Kings,147
56,2008,88,1,Kolkata Knight Riders,138
57,2008,88,2,Royal Challengers Bangalore,133
58,2008,89,1,Deccan Chargers,151
59,2008,89,2,Rajasthan Royals,151
60,2008,90,1,Royal Challengers Bangalore,133
61,2008,90,2,Mumbai Indians,135
62,2008,91,1,Chennai Super Kings,147
63,2008,91,2,Kings XI Punjab,156
64,2008,92,1,Kolkata Knight Riders,138
65,2008,92,2,Deccan Chargers,151
66,2008,93,1,Delhi Daredevils,142
67,2008,93,2,Rajasthan Royals,151
68,2008,94,1,Royal Challengers Bangalore,133
69,2008,94,2,Kings XI Punjab,156
70,2008,95,1,Kolkata Knight Riders,138
71,2008,95,2,Delhi Daredevils,142
72,2008,96,1,Chennai Super Kings,147
73,2008,96,2,Mumbai Indians,135
74,2008,97,1,Kings XI Punjab,156
75,2008,97,2,Rajasthan Royals,151
76,2008,98,1,Delhi Daredevils,142
77,2008,98,2,Deccan Chargers,151
78,2008,99,1,Kolkata Knight Riders,138
79,2008,99,2,Mumbai Indians,135
80,2008,100,1,Delhi Daredevils,142
81,2008,100,2,Kings XI Punjab,156
82,2008,101,1,Rajasthan Royals,151
83,2008,101,2,Royal Challengers Bangalore,133
84,2008,102,1,Mumbai Indians,135
85,2008,102,2,Deccan Chargers,151
86,2008,103,1,Kolkata Knight Riders,138
87,2008,103,2,Chennai Super Kings,147
88,2008,104,1,Royal Challengers Bangalore,133
89,2008,104,2,Delhi Daredevils,142
90,2008,105,1,Kolkata Knight Riders,138
91,2008,105,2,Rajasthan Royals,151
92,2008,106,1,Kings XI Punjab,156
93,2008,106,2,Mumbai Indians,135
94,2008,107,1,Royal Challengers Bangalore,133
95,2008,107,2,Chennai Super Kings,147
96,2008,108,1,Deccan Chargers,151
97,2008,108,2,Kings XI Punjab,156
98,2008,109,1,Mumbai Indians,135
99,2008,109,2,Delhi Daredevils,142
100,2008,110,1,Rajasthan Royals,151
101,2008,110,2,Chennai Super Kings,147
